,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
30,/home/dominik/Links/SC2Reps/Triton LE (11).SC2Replay,2019-11-01 13:38:34+00:00,False,Zerg,Terran,3096.0,3156.0,Gladiator,Triton LE,373,-60.0
31,/home/dominik/Links/SC2Reps/Nightshade LE (31).SC2Replay,2020-02-10 19:37:26+00:00,True,Protoss,Zerg,4023.0,4032.0,&lt;biglol&gt;<sp/>bany,Nightshade LE,959,-9.0
32,/home/dominik/Links/SC2Reps/Nightshade LE (14).SC2Replay,2019-12-27 20:40:39+00:00,True,Protoss,Zerg,3914.0,3914.0,Racin,Nightshade LE,911,0.0
33,/home/dominik/Links/SC2Reps/Triton LE (2).SC2Replay,2019-09-14 07:10:24+00:00,True,Protoss,Terran,-36400.0,3303.0,Gulgorf,Triton LE,948,-39703.0
34,/home/dominik/Links/SC2Reps/Ephemeron LE (18).SC2Replay,2019-11-18 16:17:57+00:00,True,Protoss,Protoss,3891.0,3881.0,OlympusRoyal,Ephemeron LE,540,10.0
35,/home/dominik/Links/SC2Reps/Ice and Chrome LE (15).SC2Replay,2020-07-03 20:13:01+00:00,True,Protoss,Terran,4107.0,3957.0,Kuben,Ice and Chrome LE,713,150.0
36,/home/dominik/Links/SC2Reps/Ephemeron LE.SC2Replay,2019-09-13 20:52:33+00:00,True,Protoss,Terran,-36400.0,2978.0,oldmannap,Ephemeron LE,667,-39378.0
37,/home/dominik/Links/SC2Reps/Nightshade LE (24).SC2Replay,2020-01-16 20:58:17+00:00,True,Protoss,Terran,3931.0,3845.0,Exit,Nightshade LE,994,86.0
38,/home/dominik/Links/SC2Reps/Ever Dream LE (3)_pvp_need_warp_prism.SC2Replay,2020-03-13 07:52:51+00:00,False,Protoss,Protoss,3984.0,4240.0,&lt;Dobro&gt;<sp/>KINE,Ever Dream LE,936,-256.0
39,/home/dominik/Links/SC2Reps/Ephemeron LE (23).SC2Replay,2019-11-20 07:59:04+00:00,False,Protoss,Zerg,3969.0,3988.0,BuRneR,Ephemeron LE,453,-19.0
40,/home/dominik/Links/SC2Reps/Simulacrum LE (63).SC2Replay,2020-04-27 11:29:31+00:00,True,Protoss,Terran,3955.0,4123.0,&lt;BARJO&gt;<sp/>JDH,Simulacrum LE,843,-168.0
41,/home/dominik/Links/SC2Reps/World of Sleepers LE (13).SC2Replay,2019-11-02 20:29:06+00:00,True,Protoss,Terran,3711.0,3736.0,&lt;PiGPan&gt;<sp/>Noose,World of Sleepers LE,796,-25.0
42,/home/dominik/Links/SC2Reps/Ice and Chrome LE (23).SC2Replay,2020-07-12 19:40:32+00:00,False,Protoss,Zerg,4094.0,4258.0,Hallucinogen,Ice and Chrome LE,704,-164.0
43,/home/dominik/Links/SC2Reps/Triton LE (3).SC2Replay,2019-09-23 16:05:15+00:00,True,Protoss,Zerg,-36400.0,3335.0,leChrist,Triton LE,842,-39735.0
44,/home/dominik/Links/SC2Reps/Submarine LE (21).SC2Replay,2020-07-16 14:49:51+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,492,
45,/home/dominik/Links/SC2Reps/Ephemeron LE (41).SC2Replay,2020-02-13 19:45:12+00:00,True,Protoss,Terran,4104.0,4225.0,ОТМОРОЗОК,Ephemeron LE,976,-121.0
46,/home/dominik/Links/SC2Reps/Ever Dream LE (17).SC2Replay,2020-05-01 13:09:10+00:00,True,Protoss,Protoss,3942.0,4082.0,&lt;IBeAŚI&gt;<sp/>Epiku,Ever Dream LE,711,-140.0
47,/home/dominik/Links/SC2Reps/Ephemeron LE (7).SC2Replay,2019-10-30 06:51:48+00:00,True,Protoss,Protoss,3881.0,-36400.0,&lt;WPGG&gt;<sp/>Destructor,Ephemeron LE,18,40281.0
48,/home/dominik/Links/SC2Reps/World of Sleepers LE (50).SC2Replay,2020-02-13 18:20:49+00:00,True,Protoss,Protoss,4083.0,4002.0,Salomoon,World of Sleepers LE,590,81.0
49,/home/dominik/Links/SC2Reps/Ever Dream LE (44).SC2Replay,2020-08-01 15:52:47+00:00,True,Protoss,Zerg,,,Carrots,Ever Dream LE,312,
50,/home/dominik/Links/SC2Reps/World of Sleepers LE (17).SC2Replay,2019-11-05 18:58:24+00:00,True,Protoss,Zerg,3776.0,3752.0,smthFISHYcmg,World of Sleepers LE,546,24.0
51,/home/dominik/Links/SC2Reps/Pillars of Gold LE (2).SC2Replay,2020-06-15 20:39:42+00:00,False,Protoss,Terran,4122.0,4021.0,FroZeN,Pillars of Gold LE,751,101.0
52,/home/dominik/Links/SC2Reps/Ephemeron LE (4).SC2Replay,2019-10-12 14:27:06+00:00,True,Zerg,Protoss,2866.0,2887.0,PycckuuXAKEP,Ephemeron LE,502,-21.0
53,/home/dominik/Links/SC2Reps/Deathaura LE (4).SC2Replay,2020-06-15 20:25:19+00:00,True,Protoss,Protoss,4103.0,4026.0,&lt;RIPIP&gt;<sp/>Crumbelade,Deathaura LE,864,77.0
