,replay_file,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
2019-11-02 17:51:37+00:00,/home/dominik/Links/SC2Reps/Triton LE (13).SC2Replay,False,Protoss,Zerg,3718,3685,Hazard,Triton LE,256,33
2019-11-02 17:55:38+00:00,/home/dominik/Links/SC2Reps/Triton LE (14).SC2Replay,False,Protoss,Zerg,3688,3626,Pleydellia,Triton LE,162,62
2019-11-02 18:05:44+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (10).SC2Replay,False,Protoss,Zerg,0,0,A.I. 1 (Very Easy),Ephemeron LE,23,0
2019-11-02 20:06:36+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (8).SC2Replay,True,Protoss,Terran,3655,3647,lllllll,Disco Bloodbath LE,797,8
2019-11-02 20:15:14+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (12).SC2Replay,True,Protoss,Terran,3684,3626,lllllll,World of Sleepers LE,470,58
2019-11-02 20:29:06+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (13).SC2Replay,True,Protoss,Terran,3711,3736,&lt;PiGPan&gt;<sp/>Noose,World of Sleepers LE,796,-25
2019-11-03 11:18:56+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (20).SC2Replay,True,Protoss,Terran,3740,3784,&lt;DaGOAT&gt;<sp/>Sinus,Acropolis LE,352,-44
2019-11-03 11:35:01+00:00,/home/dominik/Links/SC2Reps/Triton LE (15).SC2Replay,True,Protoss,Terran,3769,3856,&lt;LESeV&gt;<sp/>iceclaw,Triton LE,932,-87
2019-11-04 20:40:48+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (21).SC2Replay,True,Protoss,Terran,3799,3866,&lt;FreeHK&gt;<sp/>jellun,Acropolis LE,455,-67
2019-11-04 20:46:24+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (11).SC2Replay,False,Protoss,Zerg,3825,3847,North,Ephemeron LE,311,-22
2019-11-04 20:53:20+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (9).SC2Replay,False,Protoss,Terran,3800,3883,&lt;MiClan&gt;<sp/>MiSHANYA,Disco Bloodbath LE,396,-83
2019-11-04 20:57:05+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (14).SC2Replay,False,Protoss,Protoss,3777,3761,IIIIIIIIIIII,World of Sleepers LE,182,16
2019-11-05 18:35:35+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (16).SC2Replay,True,Protoss,Zerg,3752,3686,Fleetz,World of Sleepers LE,777,66
2019-11-05 18:43:20+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (12).SC2Replay,False,Protoss,Protoss,3774,3827,&lt;XsR&gt;<sp/>Ajotaele,Ephemeron LE,426,-53
2019-11-05 18:48:41+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (13).SC2Replay,True,Protoss,Protoss,3752,3771,&lt;dumbfu&gt;<sp/>cheesus,Ephemeron LE,259,-19
2019-11-05 18:58:24+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (17).SC2Replay,True,Protoss,Zerg,3776,3752,smthFISHYcmg,World of Sleepers LE,546,24
2019-11-06 21:43:25+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (10).SC2Replay,True,Protoss,Zerg,3798,3803,ProtoZZavr,Disco Bloodbath LE,551,-5
2019-11-07 18:09:53+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (22).SC2Replay,False,Zerg,Zerg,3062,3068,FABBZH,Acropolis LE,429,-6
2019-11-07 18:24:02+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (14).SC2Replay,True,Zerg,Protoss,3019,2890,Icecöld,Ephemeron LE,830,129
2019-11-08 09:33:36+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (18).SC2Replay,True,Protoss,Zerg,3821,3922,Zend,World of Sleepers LE,944,-101
2019-11-12 09:42:59+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (23).SC2Replay,True,Protoss,Protoss,3847,3888,&lt;UATeam&gt;<sp/>click,Acropolis LE,723,-41
2019-11-12 09:49:52+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (19).SC2Replay,True,Protoss,Terran,3870,3900,midhigh,World of Sleepers LE,363,-30
