,time_played_at,win,race,enemy_race,mmr,mmr_diff,enemy_nickame,map_name,duration
182,2020-05-02 18:35:12+00:00,True,Protoss,Protoss,-36400,-36400,A.I. 1 (Very Easy),Nightshade LE,386
183,2020-05-01 11:59:09+00:00,False,Protoss,Zerg,3965,-62,fireballkid,Zen LE,958
184,2019-12-23 16:30:33+00:00,False,Protoss,Protoss,3898,116,æææ,Eternal Empire LE,17
185,2020-04-18 20:05:07+00:00,False,Protoss,Zerg,4042,-29,MouseGGAXE,Purity and Industry LE,421
186,2019-11-18 18:03:36+00:00,True,Protoss,Zerg,3911,-50,Cosmobrother,Acropolis LE,909
187,2020-05-11 09:35:55+00:00,False,Protoss,Zerg,4070,-72,Elosai,Zen LE,696
188,2020-06-10 11:18:56+00:00,False,Protoss,Protoss,4144,-41,Guinness,Ice and Chrome LE,299
189,2020-02-27 21:17:28+00:00,False,Protoss,Terran,4139,-262,&lt;PlAr&gt;<sp/>Arcanewinds,Simulacrum LE,559
190,2020-01-13 20:26:44+00:00,False,Protoss,Zerg,4014,118,&lt;TARAGO&gt;<sp/>Revenge,Eternal Empire LE,243
191,2020-02-02 17:40:53+00:00,False,Protoss,Terran,3991,-4,VouS,Simulacrum LE,766
192,2020-03-14 16:58:41+00:00,True,Protoss,Zerg,0,0,A.I. 1 (Elite),Golden Wall LE,1014
193,2019-10-31 19:07:25+00:00,False,Protoss,Terran,3730,66,&lt;IndyK&gt;<sp/>Sven,Disco Bloodbath LE,381
194,2019-10-09 19:24:28+00:00,True,Zerg,Protoss,2855,55,Decadance,Thunderbird LE,830
195,2019-11-28 19:23:15+00:00,True,Protoss,Terran,3959,3,Inquisition,World of Sleepers LE,721
196,2019-12-24 11:03:44+00:00,False,Protoss,Zerg,3892,47,&lt;Wø&gt;<sp/>poichiche,Simulacrum LE,629
197,2020-05-27 10:12:25+00:00,False,Protoss,Protoss,4004,-89,MasterZERG,Nightshade LE,578
198,2019-11-01 09:05:49+00:00,True,Protoss,Zerg,3691,-78,&lt;NerCC&gt;<sp/>speck,Triton LE,943
199,2019-11-01 11:53:00+00:00,False,Zerg,Terran,3196,6,Wormzor,World of Sleepers LE,1280
200,2019-11-02 17:51:37+00:00,False,Protoss,Zerg,3718,33,Hazard,Triton LE,256
201,2020-01-31 13:10:03+00:00,True,Protoss,Terran,3992,64,&lt;GELSEN&gt;<sp/>Masaru,Nightshade LE,944
202,2019-11-19 19:05:56+00:00,False,Protoss,Protoss,3972,-387,Pudgey,Ephemeron LE,183
203,2020-02-02 17:26:32+00:00,False,Protoss,Zerg,3992,-14,djakette,Nightshade LE,595
204,2020-04-18 20:18:26+00:00,True,Protoss,Zerg,4021,8,&lt;HsDL&gt;<sp/>Domius,Zen LE,749
205,2020-05-11 16:06:39+00:00,False,Protoss,Zerg,0,0,TGE,Ever Dream LE,935
206,2020-01-05 14:03:19+00:00,False,Protoss,Zerg,4036,-160,&lt;Lowko&gt;<sp/>HardNeper,Eternal Empire LE,300
207,2019-10-29 18:18:43+00:00,False,Protoss,Zerg,3767,27,Hannibal,Thunderbird LE,10
208,2019-12-27 21:24:06+00:00,True,Protoss,Terran,3936,-41,&lt;DemuCl&gt;<sp/>Jazzz,Nightshade LE,1277
209,2020-05-03 20:53:32+00:00,False,Protoss,Protoss,3946,-79,Epicnoob,Simulacrum LE,535
210,2020-06-09 17:24:17+00:00,False,Protoss,Terran,4164,-68,StaMinA,Eternal Empire LE,758
211,2019-11-18 17:26:00+00:00,True,Protoss,Zerg,3888,-16,trouth,Triton LE,970
212,2019-12-05 19:21:37+00:00,True,Protoss,Zerg,4007,18,AlexMacedon,World of Sleepers LE,585
213,2019-11-03 11:35:01+00:00,True,Protoss,Terran,3769,-87,&lt;LESeV&gt;<sp/>iceclaw,Triton LE,932
214,2019-09-17 19:00:36+00:00,True,Zerg,Protoss,-36400,-38954,Aertemis,Acropolis LE,373
215,2020-04-21 19:29:13+00:00,False,Protoss,Protoss,4067,18,BsCMBANerd,Zen LE,131
216,2019-12-20 18:36:11+00:00,True,Protoss,Terran,3935,-246,utopike,World of Sleepers LE,1112
217,2020-06-03 18:04:43+00:00,True,Protoss,Protoss,4156,-88,Liverpool,Simulacrum LE,529
218,2019-11-06 21:43:25+00:00,True,Protoss,Zerg,3798,-5,ProtoZZavr,Disco Bloodbath LE,551
219,2019-10-29 11:28:05+00:00,False,Protoss,Protoss,3873,-79,abelian,Thunderbird LE,383
220,2020-03-14 20:10:15+00:00,True,Protoss,Terran,3994,-51,&lt;GROF&gt;<sp/>Shefarin,Simulacrum LE,923
